Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
9255;570,588  ;-14,9057  ;14,9057  ;-3,18086e+01
12623;570,588  ;-20;-20;-3,18086e+01
12624;570,588  ;-14,9057  ;-14,9057  ;-3,18086e+01
14558;570,588  ;20;20;-3,18086e+01
14901;570,588  ;-20;20;-3,18086e+01
561;570,588  ;20;-9,81147  ;-3,18148e+01
642;570,588  ;20;9,81147  ;-3,18148e+01
1159;570,588  ;-20;-9,81147  ;-3,18148e+01
1160;570,588  ;-20;9,81147  ;-3,18148e+01
10211;570,588  ;-20;-0,377068  ;-3,18167e+01
5145;570,588  ;20;0;-3,18168e+01
7596;570,577  ;-7,73003  ;-0,68409  ;-3,18087e+01
9257;570,506  ;-10,0013  ;10,1127  ;-3,18004e+01
10214;570,386  ;-16,6113  ;-3,59077  ;-3,17940e+01
7598;570,377  ;-13,3181  ;-6,34129  ;-3,17906e+01
2889;570,247  ;5,25751  ;0,157417  ;-3,17755e+01
8259;570,152  ;3,62783  ;16,2054  ;-3,17605e+01
2890;569,959  ;0,895092  ;4,90557  ;-3,17461e+01
7013;569,864  ;14,8295  ;0,097299  ;-3,17417e+01
7599;569,68  ;-1,35337  ;-2,27593  ;-3,17189e+01
4733;569,657  ;5,61394  ;-4,85896  ;-3,17169e+01
6928;569,578  ;-3,27326  ;11,4582  ;-3,17065e+01
10334;569,577  ;0,278592  ;15,034  ;-3,17042e+01
7588;569,539  ;-5,60529  ;-8,31075  ;-3,17044e+01
7005;569,451  ;2,21187  ;-8,2676  ;-3,16951e+01
7006;569,428  ;9,17918  ;-10,8506  ;-3,16935e+01
7597;569,288  ;-8,48814  ;-5,08657  ;-3,16814e+01
7012;569,275  ;15,186  ;-4,91908  ;-3,16833e+01
8261;569,14  ;4,28349  ;11,2394  ;-3,16636e+01
11026;568,927  ;-15,9487  ;6,36916  ;-3,16492e+01
2888;568,477  ;5,56854  ;4,98908  ;-3,16006e+01
4734;568,23  ;9,97717  ;0,252366  ;-3,15782e+01
5146;568,094  ;15,1406  ;4,92896  ;-3,15670e+01
7593;567,889  ;-8,72969  ;-16,1632  ;-3,15388e+01
12035;567,889  ;-13,824  ;-11,069  ;-3,15440e+01
11586;567,801  ;8,89894  ;-16,1201  ;-3,15303e+01
7016;567,801  ;13,9932  ;-11,0258  ;-3,15355e+01
8260;567,658  ;8,95694  ;11,3229  ;-3,15189e+01
9256;567,648  ;-8,64612  ;16,4242  ;-3,15149e+01
9258;567,648  ;-13,7404  ;11,3299  ;-3,15202e+01
10595;567,647  ;4,7172  ;20;-3,15111e+01
13999;567,647  ;4,7172  ;-20;-3,15111e+01
10592;567,647  ;-5,09427  ;-20;-3,15112e+01
11111;567,647  ;-5,09427  ;20;-3,15112e+01
8316;567,647  ;14,9057  ;20;-3,15152e+01
9210;567,647  ;14,9057  ;-20;-3,15152e+01
11105;567,647  ;-14,9057  ;-20;-3,15152e+01
14214;567,647  ;-14,9057  ;20;-3,15152e+01
8315;567,647  ;20;14,9057  ;-3,15225e+01
9213;567,647  ;20;-14,9057  ;-3,15225e+01
10664;567,647  ;-20;14,9057  ;-3,15225e+01
12625;567,647  ;-20;-14,9057  ;-3,15225e+01
7015;567,647  ;20;-5,09427  ;-3,15265e+01
10210;567,647  ;-20;-5,09427  ;-3,15265e+01
5144;567,647  ;20;4,7172  ;-3,15266e+01
13367;567,647  ;-20;4,7172  ;-3,15266e+01
4735;567,64  ;10,3336  ;-4,76401  ;-3,15199e+01
12034;567,638  ;-16,7068  ;-7,84479  ;-3,15224e+01
1987;567,265  ;-11,8974  ;2,92685  ;-3,14840e+01
8310;567,211  ;8,72209  ;16,2054  ;-3,14721e+01
8309;567,211  ;13,8164  ;11,1112  ;-3,14773e+01
7600;566,46  ;10,2882  ;5,08403  ;-3,14038e+01
4739;566,368  ;-5,52073  ;1,33501  ;-3,13937e+01
6929;565,987  ;-9,68908  ;7,88761  ;-3,13563e+01
12251;565,985  ;-15,9487  ;1,27489  ;-3,13607e+01
4738;565,977  ;-12,6555  ;-1,47563  ;-3,13579e+01
1617;565,471  ;0,855932  ;-0,256832  ;-3,13050e+01
4743;565,33  ;-3,39599  ;-6,29165  ;-3,12906e+01
5749;565,242  ;4,42117  ;-6,2485  ;-3,12821e+01
1990;565,189  ;-7,64791  ;-12,3265  ;-3,12755e+01
7589;565,101  ;0,169252  ;-12,2833  ;-3,12656e+01
4750;565,089  ;-3,31242  ;6,29577  ;-3,12670e+01
4737;565,079  ;-6,27884  ;-3,06747  ;-3,12672e+01
2106;565,013  ;7,98641  ;-12,2402  ;-3,12583e+01
5753;564,948  ;-4,01249  ;-16,1632  ;-3,12486e+01
10596;564,948  ;-13,824  ;-16,1632  ;-3,12523e+01
4744;564,939  ;-10,5308  ;-9,10229  ;-3,12534e+01
9390;564,859  ;3,80467  ;-16,1201  ;-3,12400e+01
13565;564,859  ;13,9932  ;-16,1201  ;-3,12437e+01
7011;564,859  ;13,9932  ;-6,30862  ;-3,12483e+01
1991;564,708  ;-7,48077  ;12,8484  ;-3,12279e+01
6600;564,707  ;-3,92892  ;16,4242  ;-3,12248e+01
