ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3,  UR-Magnitude,        UR-UR1,        UR-UR2,        UR-UR3
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            15,          280.,            0.,            0.,NA,NA,"""",       21.2685,  -8.94083E-15,       18.9175,      -9.72005,   124.877E-03,   129.860E-18,   57.0707E-03,   111.073E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            16,          300.,            0.,            0.,NA,NA,"""",       23.8235,  -8.57545E-15,       21.1900,      -10.8877,   128.475E-03,  -341.941E-18,   58.7150E-03,   114.273E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            17,          320.,            0.,            0.,NA,NA,"""",       26.4432,  -8.96909E-15,       23.5201,      -12.0850,   131.489E-03,  -147.352E-18,   60.0924E-03,   116.954E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            18,          340.,            0.,            0.,NA,NA,"""",       29.1163,  -10.1269E-15,       25.8977,      -13.3066,   133.958E-03,   554.336E-18,   61.2209E-03,   119.150E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            19,          360.,            0.,            0.,NA,NA,"""",       31.8322,  -11.5325E-15,       28.3134,      -14.5478,   135.925E-03,  -179.092E-18,   62.1200E-03,   120.900E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            20,          380.,            0.,            0.,NA,NA,"""",       34.5810,  -13.6263E-15,       30.7584,      -15.8041,   137.438E-03,   330.592E-18,   62.8114E-03,   122.246E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            21,          400.,            0.,            0.,NA,NA,"""",       37.3542,  -14.8255E-15,       33.2251,      -17.0715,   138.548E-03,  -530.850E-18,   63.3187E-03,   123.233E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            22,          420.,            0.,            0.,NA,NA,"""",       40.1441,  -15.3217E-15,       35.7065,      -18.3465,   139.311E-03,  -33.1374E-18,   63.6675E-03,   123.912E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            23,          440.,            0.,            0.,NA,NA,"""",       42.9441,  -17.6634E-15,       38.1970,      -19.6261,   139.788E-03,  -76.3917E-18,   63.8852E-03,   124.335E-03"
"C:/temp/ModalAnalysis.odb,Modal,Mode         2: Value =   67468.     Freq =   41.340     (cycles/time),""LINK-1"",            24,          460.,            0.,            0.,NA,NA,"""",       45.7491,  -18.8767E-15,       40.6919,      -20.9081,   140.042E-03,   208.220E-18,   64.0014E-03,   124.562E-03"
