frequency_hz,u_x_amp,u_x_amp_norm,u_x_amp_norm_log,u_y_amp,u_y_amp_norm,u_y_amp_norm_log,u_z_amp,u_z_amp_norm,u_z_amp_norm_log,theta_x_amp,theta_x_amp_norm,theta_x_amp_norm_log,theta_y_amp,theta_y_amp_norm,theta_y_amp_norm_log,theta_z_amp,theta_z_amp_norm,theta_z_amp_norm_log
38.26955074875208,9.815896768248682e-09,1.1232124839662584e-07,1.1232124839662584e-07,0.0006718759561820921,0.00014511876608044074,0.00014511876608044074,0.5001256485032948,0.08818193378883615,0.08818193378883615,4.700181877552563e-06,3.3834608149705374e-07,3.3834608149705374e-07,2.365771555295384,0.3036255145657759,0.3036255145657759,0.0027631172444877437,0.0004346988172377998,0.0004346988172377998
39.93344425956739,9.844850902206796e-09,1.1265256448003639e-07,1.1265256448003639e-07,0.0010572284628034842,0.00022835121360643217,0.00022835121360643217,0.003890088811327608,0.0006858987436852553,0.0006858987436852553,4.906094985872879e-06,3.531688894530163e-07,3.531688894530163e-07,0.018166571945081113,0.002331516220310946,0.002331516220310946,0.004660741389743998,0.0007332366274412581,0.0007332366274412581
41.597337770382694,9.888614875908237e-09,1.1315334645411374e-07,1.1315334645411374e-07,0.001965219731699976,0.0004244686238838155,0.0004244686238838155,0.0009681753055512892,0.0001707082429097766,0.0001707082429097766,5.122092690516737e-06,3.6871764456133176e-07,3.6871764456133176e-07,0.004361005629983313,0.0005596958740433432,0.0005596958740433432,0.00900149869607176,0.0014161327552625854,0.0014161327552625854
43.26123128119801,9.943087698856542e-09,1.1377666754455483e-07,1.1377666754455483e-07,0.0045845983543687,0.0009902292975938732,0.0009902292975938732,0.00039713746070075645,7.00231019332533e-05,7.00231019332533e-05,5.348742814085916e-06,3.850332219534956e-07,3.850332219534956e-07,0.0016696883640531961,0.00021428949366027972,0.00021428949366027972,0.021408538377683063,0.0033680316425712038,0.0033680316425712038
44.925124792013314,9.99603175625599e-09,1.1438249529139142e-07,1.1438249529139142e-07,0.01618538268377961,0.0034958875101838826,0.0034958875101838826,0.00021264517977086258,3.749350432073638e-05,3.749350432073638e-05,5.586434511841499e-06,4.021436352598548e-07,4.021436352598548e-07,0.000805493755053618,0.00010337788334222223,0.00010337788334222223,0.07621983958455311,0.011991048944288488,0.011991048944288488
46.58901830282862,1.002340636001769e-08,1.1469573714198044e-07,1.1469573714198044e-07,0.28784784827244553,0.06217237598079209,0.06217237598079209,0.00013523909006919459,2.3845296720601207e-05,2.3845296720601207e-05,5.83600981109794e-06,4.201094984416944e-07,4.201094984416944e-07,0.0004499241827812186,5.7743724750920484e-05,5.7743724750920484e-05,1.359133929789779,0.21382151370015834,0.21382151370015834
48.25291181364393,1.0128625059392593e-08,1.1589973265532843e-07,1.1589973265532843e-07,0.7636148090914306,0.1649334789204254,0.1649334789204254,9.634274375557264e-05,1.6987110091860736e-05,1.6987110091860736e-05,6.098308990402817e-06,4.3899129957401786e-07,4.3899129957401786e-07,0.00027934212043433435,3.5851050312497264e-05,3.5851050312497264e-05,3.6062468247736175,0.5673415532851509,0.5673415532851509
49.91680532445924,1.0194193032977054e-08,1.1665001322792636e-07,1.1665001322792636e-07,0.4966613603446309,0.10727409294806228,0.10727409294806228,7.385114305625153e-05,1.3021400975345773e-05,1.3021400975345773e-05,6.373781056631422e-06,4.588213607500501e-07,4.588213607500501e-07,0.00018825552065969783,2.4160903956346736e-05,2.4160903956346736e-05,2.345264380857442,0.3689614164952576,0.3689614164952576
51.580698835274546,1.022809727279694e-08,1.1703797233471183e-07,1.1703797233471183e-07,0.03248965226779398,0.007017453451194841,0.007017453451194841,5.934177226987473e-05,1.046311511692009e-05,1.046311511692009e-05,6.6638161140976445e-06,4.796997496607294e-07,4.796997496607294e-07,0.0001355128873489829,1.7391861044035456e-05,1.7391861044035456e-05,0.15357013192814098,0.02415994284911057,0.02415994284911057
53.24459234608985,1.0360182936443255e-08,1.185494008864098e-07,1.185494008864098e-07,0.006987616869675554,0.0015092582620940885,0.0015092582620940885,4.918673336284764e-05,8.672583135202263e-06,8.672583135202263e-06,6.969082327558362e-06,5.01674564642072e-07,5.01674564642072e-07,0.00010293695496732304,1.3211032929122033e-05,1.3211032929122033e-05,0.03312730623121781,0.005211650307533179,0.005211650307533179
