t,frame,body,node,x,y,z,vx,vy,vz
3.0699999999997729,307,2,1,0.11991502220058699,-0.0031180477428592607,-0.077707917447962974,0.48256467657454966,-0.036547693528343791,0.7097949342422547
3.0699999999997729,307,2,2,0.24459930845641409,-0.012284075333228237,-0.14840081777842226,0.9305398826942276,-0.11358708822981109,1.3687128936481692
3.0699999999997729,307,2,3,0.37546735751958898,-0.027082074012621089,-0.20999814247253867,1.2708721800340821,-0.18838105626313137,1.8693010061590087
3.0699999999997729,307,2,4,0.5129168119995664,-0.046730809099424585,-0.26191500680183749,1.4641478169402622,-0.23245776862788253,2.1535863561814295
3.0699999999997729,307,2,5,0.65596558863582477,-0.069985959267622591,-0.30559593780520267,1.5175199545705866,-0.23750581606861332,2.2320903884048326
3.0699999999997729,307,2,6,0.8025044689712274,-0.095303105294435586,-0.34414334361311177,1.4784060134140729,-0.21362102139397485,2.1745584582017847
3.0699999999997729,307,2,7,0.9502283318508058,-0.12128285289535987,-0.38094778179854183,1.4068249477233692,-0.17898369003196765,2.0692712702219693
3.0799999999997718,308,0,0,1.846231960833064,-0.035790267932590325,-0.89479717873972442,4.9144972462922452,1.0675238810371921,6.7422724641053486
3.0799999999997718,308,0,1,1.9504015139845357,-0.022729126388141403,-0.99229511472856424,4.766443040736517,1.2222510048621305,6.630592141604005
3.0799999999997718,308,0,2,2.0639885491469356,-0.025620224253126128,-1.0840423392817473,4.6541113864486636,1.1767075459737777,6.5097764821534483
3.0799999999997718,308,0,3,2.1857050137537013,-0.040896577589895775,-1.1705186574678659,4.5714040603256372,0.97837707463987622,6.3843291309594168
3.0799999999997718,308,0,4,2.313961955938185,-0.065060873514803261,-1.2525159125011627,4.5115885517231451,0.67273821513032961,6.2576845049170542
3.0799999999997718,308,0,5,2.4468221186810992,-0.094832272528994149,-1.3312172242658751,4.4673170140186045,0.30097858177260617,6.1317202395757056
3.0799999999997718,308,0,6,2.5822081494352438,-0.1274004767031853,-1.4080480095514514,4.4313297338471678,-0.10300250059976757,6.0067869016528919
3.0799999999997718,308,0,7,2.7183825202630327,-0.16077744602041391,-1.4842807886224265,4.3978718897937892,-0.51610979706488791,5.8823259997686881
3.0799999999997718,308,1,0,0.95209015346594994,-0.12339757505618801,-0.35599835261752621,1.9479686534002185,-0.50817726632595117,3.2639266046370761
3.0799999999997718,308,1,1,1.0582309269104313,-0.13630729643808689,-0.45149853767585424,2.573046976771626,-0.54316959018820798,4.0043397908767195
3.0799999999997718,308,1,2,1.1670581922364012,-0.13175739973721232,-0.54847736703672512,3.0426563004779146,-0.53662935405080125,4.5519090741730714
3.0799999999997718,308,1,3,1.2841416643162564,-0.11681967781263171,-0.63854827983448081,3.3232388653455427,-0.46576264203415391,4.8613492197574022
3.0799999999997718,308,1,4,1.4124819142206284,-0.097164706659521455,-0.7167006921763448,3.4091343355305632,-0.32101242668579277,4.9235099025940343
3.0799999999997718,308,1,5,1.5515234215183438,-0.076381803114440247,-0.78263441248203813,3.3323506688617375,-0.11093615364110071,4.778095604783779
3.0799999999997718,308,1,6,1.697636670091806,-0.055926479781729155,-0.84020964286298383,3.1552238044175001,0.14073975596143545,4.5043000967586728
3.0799999999997718,308,1,7,1.846231960833064,-0.035790267932590325,-0.89479717873972442,2.9442407864961773,0.40671762393710831,4.1871178832119433
3.0799999999997718,308,2,0,0,0,0,0,0,0
3.0799999999997718,308,2,1,0.12437923103768458,-0.0035128271240978089,-0.070349712621309138,0.44124448978254982,-0.042612799482013831,0.73932895523595665
3.0799999999997718,308,2,2,0.25273123995478181,-0.013515452977261078,-0.13404282150708346,0.83902527699350216,-0.13354762187274816,1.4058321312111197
3.0799999999997718,308,2,3,0.3856490628235939,-0.029135759177631504,-0.19008566271385141,1.1210248708418504,-0.22435845431839679,1.878337669353046
3.0799999999997718,308,2,4,0.52312348263258424,-0.049287784560716155,-0.23849367984185632,1.2490488578074257,-0.28255427459985749,2.0928487685739023
3.0799999999997718,308,2,5,0.66433671242792758,-0.07263651419194439,-0.28063711906567373,1.2320761371457716,-0.29821516337060838,2.0644100591398722
3.0799999999997718,308,2,6,0.807831135985695,-0.097742465381423102,-0.31895829503155282,1.1197260507966633,-0.28208203576911589,1.8761614262740196
3.0799999999997718,308,2,7,0.95209015346594994,-0.12339757505618801,-0.35599835261752621,0.97398432670010959,-0.25408863316297559,1.6319633023185385
3.0899999999997707,309,0,0,1.8486175645589504,-0.025417495931425532,-0.85921309427743442,4.0766056152515553,1.1841330655728666,5.9367580651170995
3.0899999999997707,309,0,1,1.9519146315408222,-0.010888716992801131,-0.95756945610806166,4.0714911251449006,1.3767029465357137,5.979426086055259
3.0899999999997707,309,0,2,2.0652639967939392,-0.014474047185329339,-1.0506789911051437,4.0709531039117079,1.2944125822090971,5.9585577364713291
3.0899999999997707,309,0,3,2.187178015847254,-0.032053210637598598,-1.1389622221031885,4.0582196220812543,1.007367598206754,5.8752606180405325
3.0899999999997707,309,0,4,2.3158950281800146,-0.059614276744794706,-1.2231315802692626,4.0231258419518312,0.5808569387133804,5.7358438607590418
3.0899999999997707,309,0,5,2.449347244424116,-0.09343181603783203,-1.3042665274090761,3.9647381928329737,0.071405915679183585,5.5533811280101899
3.0899999999997707,309,0,6,2.5853749625361568,-0.13035042421553117,-1.3836764025023118,3.890306023872026,-0.47698589237618799,5.3457660637496467
3.0899999999997707,309,0,7,2.7222012904049158,-0.16816083237541318,-1.4625341148087334,3.810118654434584,-1.0360259753938617,5.1299497055175385
3.0899999999997707,309,1,0,0.9516033501809642,-0.1265649195780448,-0.33731771549545808,1.2240961628928528,-0.77672983244475691,2.3581239704513925
3.0899999999997707,309,1,1,1.0644815800911358,-0.13969350868546954,-0.42478456428058625,1.8803705685873484,-0.82452486214776077,3.2798347189688579
3.0899999999997707,309,1,2,1.1786260666384727,-0.13488949985775225,-0.51583271514770734,2.3898919347613417,-0.81554017372820686,3.9817312492325527
3.0899999999997707,309,1,3,1.298578113262943,-0.1188648527281452,-0.60218662395578781,2.7057143742853427,-0.72272653447278157,4.3908534718806651
3.0899999999997707,309,1,4,1.426866654679011,-0.097122986070666453,-0.67871281948352191,2.8136121167675627,-0.53541086501508428,4.4843562786237214
3.0899999999997707,309,1,5,1.5632289193715065,-0.073350719098215639,-0.74467838161299937,2.7438061003853051,-0.26529016462347882,4.3075074226667676
3.0899999999997707,309,1,6,1.7049740773107325,-0.049325045019766312,-0.80327580887636918,2.5629480530792446,0.057302515474257243,3.961492755960248
3.0899999999997707,309,1,7,1.8486175645589504,-0.025417495931425532,-0.85921309427743442,2.3443268483489907,0.39788407467524417,3.5579100251713971
3.0899999999997707,309,2,0,0,0,0,0,0,0
3.0899999999997707,309,2,1,0.12837148812589477,-0.0039721732336169364,-0.062774807712684205,0.390541135936398,-0.049187965447995363,0.75234645938478262
3.0899999999997707,309,2,2,0.25987072529084576,-0.014965513943934815,-0.11952425548540728,0.7316704402886004,-0.15647981066057126,1.4095049523215419
3.0899999999997707,309,2,3,0.39436693641657361,-0.031598730773191544,-0.17050027111287722,0.95636391588989378,-0.26885096970062344,1.8423590751277619
3.0899999999997707,309,2,4,0.53150518010286507,-0.052442283178950978,-0.21638662099296466,1.0300368817479921,-0.35027478430034431,1.9842841885548479
3.0899999999997707,309,2,5,0.67064190710648641,-0.07605206128040011,-0.25842305159546375,0.96288964076504691,-0.38882069828941068,1.8549303654553961
3.0899999999997707,309,2,6,0.81093525748190021,-0.10109464309794662,-0.29823133919703887,0.80356205741862252,-0.39472953294442348,1.5479984390000536
3.0899999999997707,309,2,7,0.9516033501809642,-0.1265649195780448,-0.33731771549545808,0.61204808144642653,-0.3883649162223784,1.1790619852256963
3.0999999999997696,310,0,0,1.8546985498761406,-0.014760951925994775,-0.83164026397550117,3.2279106244411606,1.2817578657246937,5.0104574137637101
3.0999999999997696,310,0,1,1.958781279141085,0.00147758455387784,-0.9291059655265721,3.4035352647974513,1.5182665262898563,5.2510099556552321
3.0999999999997696,310,0,2,2.0732920376151647,-0.0033497661202329179,-1.0223080977833583,3.5605717585280079,1.3927127280431488,5.3699181525862096
3.0999999999997696,310,0,3,2.1963720030980869,-0.024329728988819507,-1.111676108886519,3.6628444002634879,1.0018197683015171,5.3591390185248926
3.0999999999997696,310,0,4,2.3260100886788702,-0.056725882898221891,-1.1978399565075002,3.6909658294196088,0.43413581301681919,5.2248392855283905
3.0999999999997696,310,0,5,2.4600613693487872,-0.096205781482466224,-1.2816767682140935,3.6487786077880351,-0.23588272175333891,4.9920542380597404
3.0999999999997696,310,0,6,2.5964468375698684,-0.13916202268615976,-1.3642056367371993,3.5601876929233924,-0.95251528672102592,4.7002411422484833
3.0999999999997696,310,0,7,2.7335407927688511,-0.18310916478010558,-1.4463191712888914,3.4553211364286418,-1.6815107759665144,4.3888622300628874
3.0999999999997696,310,1,0,0.95036458184581241,-0.13129023372686199,-0.32444849384401458,0.74933987542874925,-1.1183111002595902,1.6748049765910271
3.0999999999997696,310,1,1,1.0699789367335868,-0.14480574166590837,-0.40247322610835878,1.3470465550264716,-1.1746064675775769,2.6963301539694315
3.0999999999997696,310,1,2,1.1898750371521365,-0.13978927490418558,-0.48646717975250775,1.8303581211155961,-1.1558614550630317,3.5000073772775284
3.0999999999997696,310,1,3,1.3133901026325183,-0.12255111407088917,-0.56864266411355113,2.1398600574528688,-1.0328288471024549,3.9760718993144448
3.0999999999997696,310,1,4,1.4424403883630936,-0.098414446937599986,-0.64393710606176158,2.2511881836849144,-0.79518501329875113,4.0800927699253231
3.0999999999997696,310,1,5,1.57696629596658,-0.071189624769132265,-0.71112597405544475,2.1879110439503657,-0.45838561046058246,3.8569510242877767
3.0999999999997696,310,1,6,1.7151789422436179,-0.043033249970108434,-0.77245842563741818,2.0136567594604875,-0.059193530983047249,3.426087200284448
3.0999999999997696,310,1,7,1.8546985498761406,-0.014760951925994775,-0.83164026397550117,1.8012902810777673,0.36130115779744931,2.9239299510296113
3.0999999999997696,310,2,0,0,0,0,0,0,0
3.0999999999997696,310,2,1,0.13179832468207228,-0.0044909250974544106,-0.055218524258406079,0.32902255499234812,-0.054066308154013656,0.73537873878203386
3.0999999999997696,310,2,2,0.26589714768583245,-0.016631199255720583,-0.10529534157695705,0.60829410393079786,-0.17523497546890543,1.359561963670183
3.0999999999997696,310,2,3,0.40159738788018073,-0.034499497198155392,-0.15179292660273727,0.78150929740928254,-0.30925280483574208,1.7467049378685824
3.0999999999997696,310,2,4,0.53828725706121427,-0.056296114458439864,-0.19607865075439695,0.82034910004500039,-0.41857611118099108,1.8335134701209124
3.0999999999997696,310,2,5,0.67549370981310819,-0.080447939541282543,-0.23920978969890028,0.73507839823421084,-0.48942327272810149,1.6429299973430789
3.0999999999997696,310,2,6,0.8129059346036841,-0.1057152683637491,-0.28188101980133079,0.56895289943278371,-0.53004910277132133,1.2716327779443326
3.0999999999997696,310,2,7,0.95036458184581241,-0.13129023372686199,-0.32444849384401458,0.37466993771437451,-0.55915555012979512,0.83740248829551334
3.1099999999997685,311,0,0,1.8661662220478143,-0.0043172078196599128,-0.81228877363622509,2.5631372584510723,1.3741168171031461,4.2351202251062539
3.1099999999997685,311,0,1,1.9727391862589587,0.013952206863320368,-0.906985759073618,2.875956977844174,1.6463237839037173,4.6535932733173508
3.1099999999997685,311,0,2,2.0901082792343684,0.0073846224049572001,-0.99887871612163348,3.177236117110696,1.4806816419683462,4.9111769730249222
3.1099999999997685,311,0,3,2.2157879460279792,-0.018070980452156063,-1.0885347208012375,3.4057783058795326,0.99706261710501776,4.9848668563058869
3.1099999999997685,311,0,4,2.3473696886142879,-0.056739448697484957,-1.1765336633389709,3.5270124541666328,0.30423841683266256,4.875625068659458
3.1099999999997685,311,0,5,2.4826331409134701,-0.10351283853127452,-1.2634522672564923,3.5433430723356283,-0.50775079110472421,4.6165698108512938
3.1099999999997685,311,0,6,2.619712926270104,-0.15421784357032661,-1.3498151644027749,3.4894258174209156,-1.3730059259107379,4.2662137579014621
3.1099999999997685,311,0,7,2.7573128846459012,-0.20603176941699591,-1.4360131211810985,3.4106771071745925,-2.2521081824690539,3.8852780622324756
3.1099999999997685,311,1,0,0.95003793966314665,-0.13770357458982463,-0.31545661909733952,0.5432992166844397,-1.4336149862315297,1.4166028107023232
3.1099999999997685,311,1,1,1.0754801703467558,-0.15174852882947526,-0.38371175674586022,1.0102691486688564,-1.4936514156794156,2.3999062213636817
3.1099999999997685,311,1,2,1.2008500288293253,-0.14650521435697078,-0.46019721166958671,1.4091882172528314,-1.4580405712214861,3.2035036947116557
3.1099999999997685,311,1,3,1.3282623424975812,-0.1278988099558071,-0.53809103331031882,1.6761195147832473,-1.3005678714166695,3.6852229056521741
3.1099999999997685,311,1,4,1.4589538316305903,-0.10109590638517017,-0.61269085705545911,1.7799360521580849,-1.014511150634259,3.7783796229010758
3.1099999999997685,311,1,5,1.5929383606407792,-0.070062668562809266,-0.68230640474250226,1.7346720799714861,-0.61956497685947798,3.5200219578551986
3.1099999999997685,311,1,6,1.729155200182722,-0.037372420264510486,-0.74803589676590398,1.5928038666566231,-0.15692825406594102,3.0350852860837065
3.1099999999997685,311,1,7,1.8661662220478143,-0.0043172078196599128,-0.81228877363622509,1.4173934333966463,0.32865466199369098,2.4717108152287075
3.1099999999997685,311,2,0,0,0,0,0,0,0
3.1099999999997685,311,2,1,0.13457699890724104,-0.0050408816139273244,-0.048044734226896868,0.26026504353115681,-0.055246612028250472,0.67861719816898647
3.1099999999997685,311,2,2,0.27073294824737393,-0.018431422584532228,-0.091972500211423794,0.47770846378559062,-0.18261857603950482,1.2455809463977439
